Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Predicted_Performance_Index
7,99,1,9,1,91.849257564293
8,51,1,7,2,45.07033420535419
8,91,0,4,5,84.33177156671533
5,79,0,7,8,65.58487780808522
2,72,0,4,3,47.42898366164824
2,54,1,4,9,30.884869469864633
1,99,1,4,3,72.6486711834834
1,85,0,5,6,58.88183054108932
3,61,0,6,3,40.06400998089236
9,84,1,6,6,81.8305379974075
5,90,1,4,3,74.92976724909849
3,61,1,7,3,41.144160802955376
7,44,1,9,1,35.85807828980048
2,55,1,4,1,30.321103060714442
2,63,1,6,0,39.23999102492807
4,73,1,7,0,55.628069914720264
8,61,0,7,2,54.65661775418098
2,89,1,6,1,65.90627198145577
6,81,0,9,9,71.65190634624975
6,62,1,9,0,51.12391849341558
2,54,1,9,5,32.52507533134091
8,48,0,6,0,40.54067209660179
9,97,1,8,5,95.83953316839316
1,87,1,8,8,63.36591112317874
7,61,1,4,7,51.919683893975325
8,62,1,4,2,54.80991018821555
8,68,0,7,3,61.98049132497491
3,54,1,5,0,32.45240035484387
3,69,0,4,7,48.02663552228851
7,80,0,8,3,71.82214631912237
9,99,0,4,1,94.5458714317495
8,61,1,6,9,56.14839303074411
3,48,0,7,5,27.711398163256902
8,64,0,5,1,56.540518682239714
7,53,0,5,9,44.063248418394615
7,89,0,8,1,80.58889232868589
5,40,0,4,9,24.621105204539184
7,68,0,4,8,58.64962660005195
3,67,0,9,8,48.61941590762134
4,56,0,4,7,37.65317904413238
7,91,1,6,3,82.64187312404673
9,89,1,5,3,85.84125480289461
4,54,0,7,5,36.68034907083456
7,96,0,5,3,86.65182950875575
8,96,0,8,9,92.15765252812255
6,59,1,4,9,47.41826571444145
8,48,0,5,4,40.845346064508384
1,72,0,7,0,45.43365083029496
4,77,1,8,6,61.37271652536209
2,53,1,8,9,31.811727857893096
3,56,0,5,7,35.27857674202691
1,96,0,8,6,71.53872626802496
1,72,1,5,7,46.43920614951238
8,40,1,7,7,34.86071575702106
2,45,1,4,3,20.536335609796495
5,72,1,8,1,58.154814171475856
1,69,1,9,8,45.52774513614508
5,49,0,6,5,33.964844166167985
7,58,1,6,2,48.849442078038145
8,62,0,6,8,56.37476012606813
1,43,0,6,4,16.215702998923675
8,58,0,5,1,50.43239003411325
4,66,0,4,5,47.43794649505032
6,73,0,8,7,62.626067895442596
1,95,0,8,6,70.52070482667057
9,77,1,9,1,75.1744303733984
6,46,1,9,7,36.21963980093657
3,65,0,4,4,43.36137931293164
4,48,0,5,1,28.80888658276436
2,55,1,6,7,32.47988386328432
8,93,0,7,2,87.23330387752208
7,49,1,7,3,40.371192544507245
4,47,1,5,1,28.384796006127267
5,87,0,5,3,71.76799201766369
8,65,0,6,5,58.83565400619214
3,54,1,6,3,33.53179075612881
6,77,0,6,8,65.92343722748188
3,62,1,9,0,42.54145171506199
4,62,1,4,6,44.15751507566306
4,78,0,8,3,61.203636658059956
5,92,0,7,2,77.63281565781409
7,52,0,6,5,42.74055300913361
6,83,1,4,7,71.45533334432113
3,48,0,5,1,25.94806432331316
2,66,1,6,3,42.887225792930515
5,68,0,4,8,52.92798208114957
1,76,0,8,5,50.980573959623705
3,90,1,7,7,71.45767652748555
3,46,1,4,2,24.21745582928903
9,72,0,7,1,68.5179523872176
5,77,0,7,4,62.7579410001241
4,89,1,7,8,73.49820082689541
8,44,0,6,5,37.45720373774953
2,99,1,9,5,78.33604019228935
1,99,1,4,6,73.24184162742264
9,93,0,7,5,90.68729658091252
8,91,0,5,8,85.4111619680003
9,96,1,4,3,92.48118493502975
1,61,0,8,3,35.3148053766814
3,73,1,5,0,51.794807740577646
2,45,1,4,5,20.931782572422648
4,41,1,8,2,23.93305071135103
5,44,0,6,0,27.886119552830564
7,84,0,6,9,76.10813305772703
4,89,1,7,1,72.11413645770389
7,51,1,6,7,42.71190939512267
1,40,1,8,9,15.716626860834566
5,83,0,5,0,67.10273580830682
1,83,0,8,0,57.11810664253918
1,86,1,5,9,61.086953291100265
2,41,0,8,8,18.803816215609785
8,88,0,5,8,82.35709764393707
6,77,0,6,4,65.13254330222958
5,87,1,9,2,74.10907923045079
9,65,1,4,8,61.911137659608436
1,94,1,9,3,69.98966376343992
5,56,1,5,2,40.60553471908123
1,99,1,4,6,73.24184162742264
5,62,1,7,2,47.6861032818991
7,85,0,9,8,78.3870908898055
3,82,0,6,2,61.24473676802189
5,89,0,7,4,74.97419829637701
1,44,1,7,3,18.116151781028037
3,89,0,8,7,70.33194417875956
3,63,1,6,8,43.682601134883875
1,77,1,4,1,49.85675251106024
1,42,1,8,4,16.764052336978004
3,80,0,7,3,59.89263732397185
8,88,0,9,2,83.11563658544148
2,81,0,6,1,57.16816958590321
9,50,1,9,9,49.26963930733394
5,81,0,6,5,66.5415302895091
9,86,1,6,9,84.45975132405553
9,88,1,5,4,85.02095684285328
3,76,1,5,9,56.62838339645855
7,79,1,9,4,72.08199918114406
1,99,0,7,5,73.9088471534294
9,98,0,6,7,95.68663079296496
4,40,1,6,5,22.535759799244424
3,75,1,5,8,55.41263847379107
9,44,0,5,1,39.04091211460271
5,59,0,5,1,42.867944697114076
3,76,1,5,6,56.03521295251932
4,87,1,5,1,69.10565366030366
5,40,1,7,8,26.475972459980568
5,70,0,7,4,55.631790910643225
9,90,0,5,8,87.25396278609708
2,44,1,6,4,20.688477564446593
6,40,1,4,0,26.29634699689
3,64,1,9,1,44.77521807908389
1,43,1,7,4,17.295853820986707
4,91,0,9,5,75.31958231563914
4,45,0,6,8,27.625106585238385
6,95,0,8,7,85.02253960523961
7,85,1,9,4,78.1901278292705
3,72,1,8,3,52.828616615199614
8,54,0,6,6,47.8351416326067
7,75,0,8,6,67.32520955628954
1,53,1,8,5,28.160011673189587
3,95,1,4,2,74.10050645565508
1,53,1,6,2,26.59440131455893
9,42,1,8,0,38.859736487335276
5,89,1,6,7,75.67507964768782
5,61,0,8,1,46.362647451860035
5,74,0,5,3,58.53371328005637
4,80,0,5,5,62.176466631357776
2,52,1,7,8,30.10976297787989
9,74,1,8,6,72.62276349855483
1,90,1,5,5,64.3681451312656
1,71,0,7,9,46.195140720758225
9,58,0,6,4,54.372602694849384
8,93,1,6,2,87.34101478489367
9,52,0,4,5,47.48975761334457
9,64,0,6,1,59.88756089903662
2,42,0,8,9,20.01956113827727
6,59,1,4,1,45.83647786393684
1,71,1,9,6,47.16834105622774
5,87,0,9,7,74.50376577229886
7,89,0,9,4,81.66828272997083
6,52,1,6,6,40.6713850957128
3,67,1,8,6,48.33167985236678
5,60,0,9,0,45.63312248653826
5,99,0,7,5,85.35213619123417
3,66,0,9,7,47.403670984953855
1,99,1,9,8,76.06838837677736
1,99,1,9,3,75.079770970212
2,68,0,7,1,44.42011080564159
1,59,0,4,8,32.3225000711551
5,91,1,4,8,76.9364060970183
7,54,1,4,5,44.3980868418683
2,95,0,9,7,74.06547052478055
3,56,1,7,6,36.64722404012256
4,50,1,6,7,33.11142117541467
6,44,1,7,3,32.420263078284016
1,65,0,8,2,39.18916766078596
5,47,0,4,9,31.747255294020043
5,95,0,9,1,81.46159641525568
2,80,1,5,0,56.06013557060731
3,95,1,5,1,74.38900293168774
7,75,0,8,1,66.33659214972417
8,55,1,5,9,49.55404442527195
3,75,1,5,7,55.21491499247799
5,53,0,8,8,39.60254029021629
5,95,1,8,1,81.56930732262728
9,84,1,8,8,83.19842487472508
9,72,0,7,6,69.50656979378297
6,55,1,6,6,43.725449419776034
8,45,0,4,8,38.09595570835173
3,42,0,9,3,22.180262467195725
8,51,1,6,8,45.77045513588694
2,72,0,9,1,49.46463648575067
8,70,0,8,3,64.50275416502947
7,66,1,8,7,58.95467093013024
9,41,1,8,5,38.83033245254624
7,51,1,8,5,43.28890234718795
5,61,0,7,0,45.678704013201234
6,76,0,8,2,64.69151481294045
1,71,1,6,5,45.51195770287752
2,63,1,9,4,41.48954482221752
4,92,0,8,2,75.25821335570862
6,82,0,4,6,69.64565755693633
6,57,0,9,2,45.83532738455238
4,66,0,8,6,49.580549805746266
8,55,0,5,1,47.37832571005003
9,57,1,4,8,53.766966128773156
1,42,1,8,1,16.170881893038775
6,93,0,5,5,81.1323898878675
6,55,1,9,1,44.1954918852478
6,45,1,5,3,32.465844604947
7,90,0,8,2,81.80463725135337
8,89,1,5,8,83.96904995000878
7,53,0,9,1,44.42634039727286
8,86,1,5,9,81.11270910725864
5,87,1,6,7,73.63903676497901
6,44,0,9,8,33.78738953482351
1,71,1,6,6,45.70968118419059
6,92,1,9,4,82.45545565930018
3,45,1,7,4,25.053541222597914
3,64,1,4,7,43.53045918023377
4,48,0,9,4,31.34693685608645
6,82,0,6,7,70.81582095294084
4,75,0,6,5,57.57257938193144
2,92,0,9,0,69.62734183152577
9,92,0,5,2,88.10366478092746
2,47,0,8,6,24.516497901110085
8,88,1,5,2,81.76468762077593
2,66,0,8,6,43.85890528684387
3,58,1,6,1,37.20842955892028
1,64,0,6,9,38.582770673931655
6,60,0,5,2,46.944511879232756
8,63,1,9,5,58.85220186023776
9,63,0,9,3,60.7236462923455
3,99,0,9,0,79.61431418045782
5,58,1,4,5,42.748528088383544
8,67,0,6,3,60.4762499262748
3,79,1,9,5,60.83643362465234
6,81,0,9,5,70.86101242099744
1,86,0,7,4,60.476844934508996
1,52,1,9,7,28.02365715180705
